Paper,ID,PaperID,DecompID,Source,Experiment_Type,Latitude,Longitude,MAT,MAP,Duration_years,Treatment,N_addition_kgN_ha_yr,N_Form,N_Form_Cat2,Ecosystem,Substrate_Cat,FinalMass,Years,Harvests,single.k,double.ks,double.k,double.A,asymp.k,asymp.A,weibull.alpha,weibull.beta,weibull.mrt,weibull.half.life,weibull.quarter,weibull.tenth,weibull.AIC,Single_AICc,Asym_AICc,Double_AICc,Best_Model_3,Best_Model_4,Single_3,Double_3,Asymp_3,Single_4,Double_4,Asymp_4,Weibull_4,Single,Double,Asymp,Weibull
Aerts_etal_2006,1,1,1,Zhang,Field,68.2,19,0.5,320,3,C,0,Reference,Reference,arctic,shrub,0.64,3,3,0.173314855,1.00E-05,0.743940785,0.593614879,0.743942752,0.593615298,0.572019918,11.69865626,18.78780284,6.164083369,1.324989,0.228870797,-20.15357758,-11.08943709,-18.02255611,NA,Asymp,Weibull,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,Asymp,Weibull
Aerts_etal_2006,5,1,2,Zhang,Field,68.2,19,0.5,320,3,N,100,NH4,inorganic,arctic,shrub,0.59,3,3,0.219959706,0.026128106,1.487441046,0.633550348,1.256156324,0.58261913,0.357825838,17.10366117,79.77563837,6.141169159,0.525940581,0.031754869,-24.37840756,-6.626167955,-21.51991683,NA,Asymp,Weibull,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,NA,NA,Asymp,Weibull
Aerts_etal_2006,9,1,3,Zhang,Field,68.2,19,0.5,320,3,C,0,Reference,Reference,arctic,graminoid,0.62,3,3,0.1654983,0.138886726,18.96223118,0.944471586,0.355114029,0.42730862,0.81233039,7.567347806,8.482045675,4.819429882,1.632492405,0.474061363,-25.28210931,-18.3067084,-11.79389532,NA,Single,Weibull,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Single,NA,NA,Weibull
Aerts_etal_2006,13,1,4,Zhang,Field,68.2,19,0.5,320,3,N,100,NH4,inorganic,arctic,graminoid,0.62,3,3,0.168849106,1.00E-05,0.349925701,0.412619733,0.349957386,0.41263639,0.84299664,7.076202411,7.738842135,4.58121158,1.614130383,0.490294943,-24.51769973,-19.26407356,-19.36683385,NA,Asymp,Weibull,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Single,NA,Asymp,Weibull
Aerts_etal_2006,17,1,5,Zhang,Field,68.2,19,0.5,320,3,C,0,Reference,Reference,arctic,broadleaf deciduous,0.48,3,3,0.288971511,1.00E-05,0.832095587,0.433082103,0.832076148,0.433065835,0.58489119,4.90315906,7.632884798,2.620186075,0.582597377,0.104599376,-21.00988915,-9.135103036,-38.58783652,NA,Asymp,Asymp,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,NA,NA,Asymp,NA
Aerts_etal_2006,21,1,6,Zhang,Field,68.2,19,0.5,320,3,N,100,NH4,inorganic,arctic,broadleaf deciduous,0.54,3,3,0.264920574,0.043468574,2.004261102,0.614130427,1.500834143,0.539901683,0.295555071,14.91437822,147.8080529,4.315625992,0.220219607,0.007359881,-27.87208918,-5.055326292,-15.76074368,NA,Asymp,Weibull,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,Asymp,Weibull
Aerts_etal_2006,25,1,7,Zhang,Field,68.2,19,0.5,320,3,C,0,Reference,Reference,arctic,broadleaf deciduous,0.53,3,3,0.240031954,0.1357864,2.091556145,0.796114941,0.74414131,0.480530454,0.60013912,6.420870468,9.657767185,3.486298013,0.805361674,0.151043247,-39.06521902,-10.40776735,-11.5024109,NA,Asymp,Weibull,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Single,NA,Asymp,Weibull
Aerts_etal_2006,29,1,8,Zhang,Field,68.2,19,0.5,320,3,N,100,NH4,inorganic,arctic,broadleaf deciduous,0.6,3,3,0.201480551,0.064097625,1.505257734,0.723504396,0.937367457,0.578510373,0.480347647,11.93861247,25.78365258,5.566474639,0.892287277,0.110240131,-29.76223291,-8.938876615,-16.2235182,NA,Asymp,Weibull,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,NA,NA,Asymp,Weibull
Bejarano_etal_2014,39,2,15,Zhang,Field,24.23333333,-89.517,25.8,531,1,C,0,Reference,Reference,subtropical forest,herb,0.42,1,7,1.987432576,0.284110831,22.48128484,0.561807474,16.20855181,0.48662194,0.241948611,1.752334056,51.49178079,0.38523982,0.010168209,0.000160043,-37.69526717,-2.859410822,-27.6870241,-50.77003745,Double,Double,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Double,NA,NA
Bejarano_etal_2014,47,2,16,Zhang,Field,24.23333333,-89.517,25.8,531,1,N,2.4,urea,urea,subtropical forest,herb,0.48,1,7,1.753873265,0.156433153,17.51049515,0.553222067,14.53437092,0.508194857,0.242803565,2.452081518,70.46329298,0.54195809,0.014488958,0.000231409,-32.40595431,-3.125212052,-35.14936363,-39.8240525,Double,Double,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,NA,Double,NA,NA
