Paper,ID,PaperID,DecompID,Source,Experiment_Type,Latitude,Longitude,MAT,MAP,Treatment,N_addition_kgN_ha_yr,N_Form,N_Form_Cat2,Ecosystem,propinit,Years
Aerts_etal_2006,1,1,1,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,1,0
Aerts_etal_2006,2,1,1,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,0.79,1
Aerts_etal_2006,3,1,1,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,0.68,2
Aerts_etal_2006,4,1,1,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,0.64,3
Aerts_etal_2006,5,G,2,Zhang,Field,68.2,19,0.5,320,N,100,NH4,inorganic,arctic,1,0
Aerts_etal_2006,6,1,2,Zhang,Field,68.2,19,0.5,320,N,100,NH4,inorganic,arctic,0.7,1
Aerts_etal_2006,7,1,2,Zhang,Field,68.2,19,0.5,320,N,100,NH4,inorganic,arctic,0.62,2
Aerts_etal_2006,8,1,2,Zhang,Field,68.2,19,0.5,320,N,100,NH4,inorganic,arctic,0.59,3
Aerts_etal_2006,9,1,3,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,1,0
Aerts_etal_2006,10,1,3,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,0.82,1
Aerts_etal_2006,11,1,3,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,0.72,2
Aerts_etal_2006,12,1,3,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,0.62,3
Aerts_etal_2006,13,1,4,Zhang,Field,68.2,19,0.5,320,N,100,NH4,inorganic,arctic,1,0
Aerts_etal_2006,14,1,4,Zhang,Field,68.2,19,0.5,320,N,100,NH4,inorganic,arctic,0.83,1
Aerts_etal_2006,15,1,4,Zhang,Field,68.2,19,0.5,320,N,100,NH4,inorganic,arctic,0.7,2
Aerts_etal_2006,16,1,4,Zhang,Field,68.2,19,0.5,320,N,100,NH4,inorganic,arctic,0.62,3
Aerts_etal_2006,17,1,5,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,1,0
Aerts_etal_2006,18,1,5,Zhang,Field,68.2,19,0.5,320,C,0,Reference,Reference,arctic,0.68,1
